,iteration,epoch,avg_disc_loss,avg_ae_loss,avg_recon_loss,timeT,timeV
362,12,2,-0.1778,7326.6589,15127.1969,4.9011,0.6344
363,12,3,-0.1474,7327.2988,15126.0777,4.9465,0.6282
364,12,4,-0.2049,7326.5649,15126.3586,4.95,0.6329
365,12,5,-0.1702,7328.0134,15127.6338,4.9615,0.6506
366,12,6,-0.1817,7327.0929,15127.4202,4.9429,0.6382
367,12,7,-0.1798,7329.9046,15127.8069,4.9239,0.6314
368,12,8,-0.1989,7327.6671,15126.9547,4.9208,0.6339
369,12,9,-0.1894,7330.2345,15127.7082,4.8641,0.6294
370,12,10,-0.1862,7329.6449,15127.6415,4.8588,0.6243
371,12,11,-0.1616,7329.3292,15126.8017,4.8711,0.6269
372,12,12,-0.185,7326.3988,15126.7695,4.8645,0.6347
373,12,13,-0.2117,7325.2403,15126.7122,4.8616,0.6406
374,12,14,-0.166,7329.0897,15125.6169,4.8779,0.6319
375,12,15,-0.1481,7330.7316,15125.3465,4.9266,0.6283
376,12,16,-0.2109,7328.7875,15128.8156,4.9386,0.6406
377,12,17,-0.1529,7328.2347,15126.6825,4.9207,0.6254
378,12,18,-0.1618,7326.2816,15126.8171,4.9043,0.6258
379,12,19,-0.1418,7326.496,15126.6972,4.908,0.6334
380,12,20,-0.1649,7330.1345,15126.8358,4.8632,0.6391
381,12,21,-0.1789,7328.3889,15127.0049,4.8649,0.6323
382,12,22,-0.1518,7327.5565,15127.5796,4.8678,0.6468
383,12,23,-0.1859,7329.4804,15126.7911,4.8963,0.6304
384,12,24,-0.1962,7326.639,15127.1643,4.9224,0.6281
385,12,25,-0.1616,7327.8863,15127.1342,4.9179,0.6204
386,12,26,-0.1838,7329.4331,15126.6961,4.8442,0.6087
387,12,27,-0.1936,7326.7431,15126.942,4.769,0.605
388,12,28,-0.1612,7328.7716,15126.6419,4.754,0.5961
389,12,29,-0.1833,7325.2108,15126.8813,4.7621,0.6057
390,13,0,-0.1908,7312.8807,15086.992,4.7536,0.6085
391,13,1,-0.206,7313.9271,15086.612,4.7573,0.6186
392,13,2,-0.1823,7312.4456,15086.3446,4.7536,0.6064
393,13,3,-0.1505,7313.0893,15087.3838,4.7581,0.6157
394,13,4,-0.2065,7312.3608,15086.0855,4.7666,0.6083
395,13,5,-0.1728,7313.7749,15086.5368,4.7502,0.6058
396,13,6,-0.184,7312.8526,15085.731,4.7663,0.6102
397,13,7,-0.1822,7315.7035,15085.8289,4.7745,0.619
398,13,8,-0.2018,7313.439,15085.6218,4.7885,0.6113
399,13,9,-0.1929,7316.0249,15085.9027,4.7872,0.6101
400,13,10,-0.1894,7315.3672,15086.4792,4.7879,0.6414
401,13,11,-0.1644,7315.1185,15086.7246,4.7741,0.6227
402,13,12,-0.1874,7312.1641,15086.519,4.7868,0.6104
403,13,13,-0.2147,7311.0152,15086.9964,4.7697,0.6065
404,13,14,-0.1689,7314.8485,15086.8314,4.7574,0.609
405,13,15,-0.1512,7316.4981,15084.407,4.7678,0.6128
406,13,16,-0.2109,7314.5576,15086.5935,4.7587,0.6036
407,13,17,-0.1529,7314.0029,15086.0758,4.751,0.6156
